Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
Microbial Laboratory Guidance Manual for the Final Long Term 2 Enhanced Surface Water Treatment Rule,2006-02-01,2020-02-28,OW-OGWDW-1609,Drinking Water ,This document is intended to help with the implementation of the LT2ESWTR., https://nepis.epa.gov/Exe/ZyNET.exe/2000ZZB8.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000000%5C2000ZZB8.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Initial Distribution System Evaluation (IDSE) Guidance Manual and Tool (PDF),2006-01-01,2020-02-28,OW-OGWDW-1344,Final,Drinking Water , https://nepis.epa.gov/Exe/ZyPDF.cgi/2000UD31.PDF?Dockey=2000UD31.PDF
Using DWSRF Set-Aside Funds for Capacity Development,2007-12-01,2020-02-28,OW-OGWDW-2649,DWSRF,DWSRF and capacity development, https://www.epa.gov/dwcapacity/use-drinking-water-state-revolving-fund-dwsrf-set-asides-0
Lead and Copper Monitoring and Reporting Guidelines for PWS (WSG 153),2015-02-02,2020-02-28,OW-OGWDW-1430,Drinking Water,Lead and Copper Monitoring and Reporting Guidelines for PWS (WSG 153), https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
Strategic Plan for Targeted Outreach to Populations Affected by Lead,2017-07-18,2020-06-27,OW-OGWDW-2370,"SDWA, notifications","Strategic Plan that identifies how EPA, primacy agencies, and owners and operators of public water systems will provide targeted outreach, education, technical assistance, and risk communication to populations affected by lead in drinking water.", https://www.epa.gov/dwreginfo/strategic-plan-targeted-outreach-populations-affected-lead
UCMR 4 Laboratory Approval Requirements and Information Document Version 3.0,2017-11-30,2020-02-28,OW-OGWDW-2577,UCMR,Manual detailing the analytical methods and quality control requirements for laboratories supporting the UCMR4 program. , https://www.epa.gov/dwucmr/laboratory-approval-program-fourth-unregulated-contaminant-monitoring-rule-ucmr-4
Using Drinking Water State Revolving Fund (DWSRF) Set-Aside Funds for Capacity Development and Technical Assistance (PDF),2017-10-01,2020-02-28,OW-OGWDW-2642,DWSRF,DWSRF; capacity development; technical assistance, https://www.epa.gov/sites/production/files/2017-10/documents/final_dwsrf_2017_report_508compliant.pdf
SRF Fund Management Handbook (PDF),2018-03-01,2020-02-28,OW-OGWDW-2160,DWSRF,Purpose is to guide EPA and state SRF managers through the process of strategic Fund management, https://www.epa.gov/sites/production/files/2018-04/documents/fund_management_handbook_2018final.pdf
National Primary Drinking Water Regulations; Arsenic and Clarifications to Compliance and New Source Contaminants Monitoring,2001-01-22,2020-02-28,OW-OGWDW-1670,Drinking Water,Notice of proposed rulemaking., https://www.federalregister.gov/documents/2001/01/22/01-1668/national-primary-drinking-water-regulations-arsenic-and-clarifications-to-compliance-and-new-source
A Review of Distribution System Monitoring Strategies under the Total Coliform Rule (PDF),2007-01-01,2020-02-28,OW-OGWDW-70,Drinking Water,A Review of Distribution System Monitoring Strategies under the Total Coliform Rule,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=E5EFBE8956E2AD5A932040CBCD0209D7?doi=10.1.1.129.7226&rep=rep1&type=pdf
Invalidation of Total Coliform Positive Samples (PDF),2007-04-01,2020-02-28,OW-OGWDW-1403,Drinking Water,Invalidation of Total Coliform Positive Samples,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.174.8269&rep=rep1&type=pdf
Clarifications on the Flexibility in 40 CFR Part 136 Whole Effluent Toxicity Test Methods (PDF),1996-04-10,2020-02-28,OW-OWM-379,Methods,"Memo clarifying flexibility in regulations establishing analytical test methods for determining whole effluent toxicity.  Information to conduct WET test methods, for authorized States.",http://colowqforum.org/pdfs/whole-effluent-toxicity/documents/Tudor%20Davies%201996.pdf
Estuarine and Coastal Marine Waters:  Bioassessment and Biocriteria Technical Guidance (EPA-822-B-00-024) (PDF),2000-12-01,2020-02-28,OW-OST-769,Water Quality Criteria,Estuarine and Coastal Marine Waters:  Bioassessment and Biocriteria Technical Guidance (EPA-822-B-00-024),http://nepis.epa.gov/Exe/ZyPDF.cgi/20003EY7.PDF?Dockey=20003EY7.PDF
Barium National Recommended Ambient Water Quality Criteria for the Protection of Aquatic Life (PDF),1986-05-01,2020-02-28,OW-OST-1159,Water Quality Criteria,Quality Criteria for Water 1986,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=00001MGA.pdf
Nitrates  National Recommended Ambient Water Quality Criteria for the Protection of Aquatic Life (PDF),1986-05-01,2020-02-28,OW-OST-1218,Water Quality Criteria,Quality Criteria for Water 1986,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=00001MGA.pdf
Solids Dissolved and Salinity  National Recommended Ambient Water Quality Criteria for the Protection of Aquatic Life (PDF),1986-05-01,2020-02-28,OW-OST-1237,Water Quality Criteria,"Quality Criteria for Water 1986

",http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=00001MGA.pdf
Human Health Criteria: Antimony  (PDF),1980-01-01,2020-02-28,OW-OST-1156,Water Quality Criteria,This document contains information regarding the calculation of the human health criteria ,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Arsenic (PDF),2002-11-01,2020-02-28,OW-OST-1157,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Asbestos (PDF),2002-11-01,2020-02-28,OW-OST-1158,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Copper (PDF),1992-01-01,2020-02-28,OW-OST-1186,Water Quality Criteria,Human Health  Criteria for Copper Calculation,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Nickel  (PDF),2002-11-01,2020-02-28,OW-OST-1217,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Nitrosodiethylamine (PDF),2002-11-01,2020-02-28,OW-OST-1222,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Nitrosopyrrolidine (PDF),2002-11-01,2020-02-28,OW-OST-1223,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: N-Nitrosodimethylamine (PDF),2002-11-01,2020-02-28,OW-OST-1224,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: N-Nitrosodi-n-Propylamine  (PDF),2002-11-01,2020-02-28,OW-OST-1225,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: N-Nitrosodiphenylamine  (PDF),2002-11-01,2020-02-28,OW-OST-1226,Water Quality Criteria,Human Health Criteria 2002 Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Polychlorinated Biphenyls (PCBs)  (PDF),2002-11-01,2020-02-28,OW-OST-1234,Water Quality Criteria,"National Recommended Water Quality Criteria: 2002 
 
Human Health Criteria Calculation Matrix ",http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
Human Health Criteria: Zinc (PDF),2002-11-01,2020-02-28,OW-OST-1245,Water Quality Criteria,Human Health Criteria Calculation Matrix,http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=20003IEI.pdf
The Effectiveness of Disinfectant Residuals in the Distribution System  (PDF),2007-01-01,2020-02-28,OW-OGWDW-2484,Drinking Water,The Effectiveness of Disinfectant Residuals in the Distribution System ,http://www.elaguapotable.com/The%20Effectiveness%20of%20Disinfectant%20Residuals%20in%20the.pdf
Developing a State and Tribal Wetland Program Plan website,2009-10-02,2020-02-28,OW-OWOW -2852,State and Tribal Wetland Program Planning (voluntary),Provides process guidelines and core elements of state/tribal wetland program plan,http://www.epa.gov/developing-state-or-tribal-wetland-program-plan
